Seq_ID	Origin	Farming	Condition	Stage	Time	Latitude	Longitude	Variety	Date	Density_must	pH_must	Acetic_acid	Ammonia	Sugars	Glycerol	Lactic_acid	Malic_acid	PAN	Ethanol	Tartaric_acid	Citric_acid	Succinic_acid	pH	CFU	CFU_max	Total_fermentation_days	Weight_loss_max	Weight_loss_average	Time_hours_CFU_max	Region
ITS-154	R1	CONV	18C	1_middle	240	42.1405764	-1.8781454	Tempranillo	02/09/2020	1092	3.44	0.28	69	162.07	5.21	0.02	1.26	13	NA	NA	NA	NA	NA	1.00E+08	8.00E+07	34	0.381886477	0.07	96	Rioja
ITS-171	R1	CONV	NH4	1_middle	120	42.1405764	-1.8781454	Tempranillo	02/09/2020	1092	3.44	0.33	439	163.05	4.77	0.03	1.41	59	NA	NA	NA	NA	NA	2.18E+07	8.00E+07	27	0.582045172	0.11	144	Rioja
ITS-189	R1	CONV	SO2	1_middle	144	42.1405764	-1.8781454	Tempranillo	02/09/2020	1092	3.44	0.17	23	145.84	5.82	4.64	1.06	24	NA	NA	NA	NA	NA	5.94E+07	7.60E+07	19	1.013817349	0.19	144	Rioja
ITS-135	R1	ECO	Control	1_middle	96	42.135349	-1.871122	Tempranillo	02/09/2020	1095	3.48	0.08	23	157.15	6.18	8.51	1.95	5	NA	NA	NA	NA	NA	3.79E+07	4.80E+07	19	0.629668498	0.18	92	Rioja
ITS-153	R1	ECO	18C	1_middle	168	42.135349	-1.871122	Tempranillo	02/09/2020	1095	3.48	0.1	16	170.34	4.76	3.85	2.14	6	NA	NA	NA	NA	NA	4.38E+07	9.20E+07	42	0.388098318	0.08	96	Rioja
ITS-170	R1	ECO	NH4	1_middle	72	42.135349	-1.871122	Tempranillo	02/09/2020	1095	3.48	0.21	142	152.73	5.72	11.55	1.73	61	NA	NA	NA	NA	NA	4.70E+07	6.40E+07	19	1.061455883	0.17	72	Rioja
ITS-188	R1	ECO	SO2	1_middle	120	42.135349	-1.871122	Tempranillo	02/09/2020	1095	3.48	0.08	24	153.68	6.23	8.42	1.97	6	NA	NA	NA	NA	NA	4.48E+07	1.20E+08	19	0.684637551	0.19	144	Rioja
ITS-138	R2	CONV	Control	1_middle	144	42.1405764	-1.8781454	Tempranillo	02/09/2020	1097	3.52	0.13	20	185.26	4.99	1.21	1.79	23	NA	NA	NA	NA	NA	1.82E+07	4.00E+07	24	0.50833098	0.13	144	Rioja
ITS-156	R2	CONV	18C	1_middle	264	42.1405764	-1.8781454	Tempranillo	02/09/2020	1097	3.52	0.11	21	171.45	5.56	7.53	1.49	22	NA	NA	NA	NA	NA	1.67E+07	4.00E+07	33	0.485506799	0.12	144	Rioja
ITS-173	R2	CONV	NH4	1_middle	120	42.1405764	-1.8781454	Tempranillo	02/09/2020	1097	3.52	0.17	334	181.09	6.25	13.41	1.67	31	NA	NA	NA	NA	NA	1.36E+07	4.00E+07	19	0.658515571	0.15	144	Rioja
ITS-191	R2	CONV	SO2	1_middle	168	42.1405764	-1.8781454	Tempranillo	02/09/2020	1097	3.52	0	23	164.22	5.17	0.03	2.62	33	NA	NA	NA	NA	NA	2.42E+07	4.92E+07	20	0.642884973	0.21	96	Rioja
ITS-137	R2	ECO	Control	1_middle	240	42.140991	-1.879401	Tempranillo	02/09/2020	1099	3.57	0.09	16	177.36	5.59	6.7	1.41	20	NA	NA	NA	NA	NA	8.80E+06	4.00E+07	31	0.61878313	0.1	96	Rioja
ITS-155	R2	ECO	18C	1_middle	408	42.140991	-1.879401	Tempranillo	02/09/2020	1099	3.57	0.09	7	181.02	5.08	1.88	1.64	21	NA	NA	NA	NA	NA	9.00E+06	3.16E+07	40	0.422908601	0.07	264	Rioja
